"movieId","movieTitle","movieYear","movieUrl","movieRank","critic_score","audience_score"
"180ea20c-fe9e-38af-b8a1-aa85697c157c","Sunrise",1927,"https://www.rottentomatoes.com/m/sunrise",42,"98%","92%"
"8f3aef40-0345-32dc-a218-b10d84d563f5","Rashomon",1950,"https://www.rottentomatoes.com/m/rashomon",43,"98%","93%"
"819cd155-49d8-365b-9a62-39bced69482a","Sweet Smell of Success",1957,"https://www.rottentomatoes.com/m/sweet_smell_of_success",44,"98%","91%"
"36fc4b4a-6f33-321f-8648-56df1e7b32c3","Invasion of the Body Snatchers",1956,"https://www.rottentomatoes.com/m/1010678-invasion_of_the_body_snatchers",45,"98%","85%"
"761bdf23-a137-3e5e-a7b9-8609cbb49b66","8 1/2",1963,"https://www.rottentomatoes.com/m/8-12",46,"97%","92%"
"42166f82-4176-32f3-8aaf-7e13d039e2f7","Strangers on a Train",1951,"https://www.rottentomatoes.com/m/strangers_on_a_train",47,"98%","92%"
"f199b761-9480-3178-961c-315656e333f2","One Hundred and One Dalmatians",1961,"https://www.rottentomatoes.com/m/101_dalmatians",48,"98%","76%"
"4c0437d5-d6d0-30b7-af00-831c660f98ce","Bride of Frankenstein",1935,"https://www.rottentomatoes.com/m/bride_of_frankenstein",49,"98%","87%"
"db2f13d5-96a8-3474-816e-48b6c1c008c0","The Lady Vanishes",1938,"https://www.rottentomatoes.com/m/1011813-lady_vanishes",50,"98%","88%"
"3119450b-d76b-385a-90d0-b46f75ba4b7a","The Leopard",1963,"https://www.rottentomatoes.com/m/the_leopard_1963",51,"98%","89%"
"f0d7c68d-0619-347c-b4c8-f096af61fa5e","Gentlemen Prefer Blondes",1953,"https://www.rottentomatoes.com/m/gentlemen_prefer_blondes",52,"88%","83%"
"8e497f00-f9c0-3e6c-8526-969077b790df","Metropolis",1927,"https://www.rottentomatoes.com/m/1013775-metropolis",53,"97%","92%"
"f814f555-693d-34fb-844f-6286e325f607","Snow White and the Seven Dwarfs",1937,"https://www.rottentomatoes.com/m/snow_white_and_the_seven_dwarfs",54,"97%","78%"
"5a2dbf14-b761-3311-aea9-ed46d79200f8","North by Northwest",1959,"https://www.rottentomatoes.com/m/north_by_northwest",55,"97%","94%"
"819e3da2-48e0-316a-ae57-4d2e2ff9dc78","Double Indemnity",1944,"https://www.rottentomatoes.com/m/double_indemnity",56,"97%","95%"
"e6eb036c-963e-388d-bfa9-3969e9c0d252","The Best Years of Our Lives",1946,"https://www.rottentomatoes.com/m/best_years_of_our_lives",57,"97%","93%"
"675cb9c6-b034-3df0-a84b-7c15503faacb","The Good, the Bad and the Ugly",1967,"https://www.rottentomatoes.com/m/the_good_the_bad_and_the_ugly",58,"97%","97%"
"13101368-55d8-30a1-9d41-4271211defbb","Nosferatu",1922,"https://www.rottentomatoes.com/m/nosferatu",59,"97%","87%"
"0b3942e5-015f-32c3-918e-b57567e02768","Safety Last",1923,"https://www.rottentomatoes.com/m/safety_last",60,"97%","93%"
"ea78c5ab-0c93-34ef-8da0-1e13790bac75","Grand Illusion",1937,"https://www.rottentomatoes.com/m/la_grande_illusion",61,"97%","92%"
"bd259d46-a8a4-3ec7-8cd1-41b5b20102ee","The Umbrellas of Cherbourg",1964,"https://www.rottentomatoes.com/m/the_umbrellas_of_cherbourg_1964",62,"97%","87%"
"5262e09f-76e7-36c6-a804-9bd8a6d252b3","The Big Sleep",1946,"https://www.rottentomatoes.com/m/1002352-big_sleep",63,"96%","91%"
"2dd94fec-3692-385d-bc80-6c8888bea303","The Red Shoes",1948,"https://www.rottentomatoes.com/m/1017346-red_shoes",64,"99%","91%"
"9caf27de-ff8c-39e5-8c07-e282b00cb858","A Streetcar Named Desire",1951,"https://www.rottentomatoes.com/m/1020333-streetcar_named_desire",65,"97%","90%"
"4c01692b-e34d-3267-b8c3-5b74af15e693","The Manchurian Candidate",1962,"https://www.rottentomatoes.com/m/1013227-manchurian_candidate",66,"97%","90%"
"78386e4b-4276-3309-9801-b96bb3fe7cb6","From Russia With Love",1963,"https://www.rottentomatoes.com/m/from_russia_with_love",67,"97%","84%"
"c6b3154c-1814-3a23-a4c2-70d31b08137d","King Kong",1933,"https://www.rottentomatoes.com/m/1011615-king_kong",68,"97%","86%"
"e727c525-ad2d-3873-b10c-40fc59266318","Psycho",1960,"https://www.rottentomatoes.com/m/psycho",69,"97%","95%"
"738ea3c9-4819-36af-b506-36955f7360b1","The Bridge on the River Kwai",1957,"https://www.rottentomatoes.com/m/bridge_on_the_river_kwai",70,"96%","93%"
"396e1190-3550-317a-bb0c-5308655b3f22","La Dolce Vita",1960,"https://www.rottentomatoes.com/m/la_dolce_vita",71,"95%","90%"
"09f6b9f8-c5d1-3767-8b9d-3f6851f04def","Breathless",1959,"https://www.rottentomatoes.com/m/breathless",72,"96%","90%"
"5e7bfe39-9cb7-3889-92d5-9662c4325e12","Paths of Glory",1957,"https://www.rottentomatoes.com/m/paths_of_glory",73,"96%","95%"
"a308faa6-c764-3c5d-b808-d8753280d577","Mary Poppins",1964,"https://www.rottentomatoes.com/m/mary_poppins",74,"97%","86%"
"025f8085-b8fa-394b-956e-eaf4810ccb8f","Eyes Without a Face",1960,"https://www.rottentomatoes.com/m/eyes_without_a_face_1962",75,"97%","87%"
"d0a2f686-cfc7-3d53-96b2-edca9b003757","The Rules of the Game",1939,"https://www.rottentomatoes.com/m/the_rules_of_the_game",76,"97%","89%"
"8054c5a7-0cd6-33a2-a0df-a219a851862e","The 39 Steps",1935,"https://www.rottentomatoes.com/m/1000121-39_steps",77,"96%","86%"
"fff5cee0-7ad7-3983-aa39-2f7901a77b6f","A Fistful of Dollars",1964,"https://www.rottentomatoes.com/m/fistful_of_dollars",78,"98%","91%"
"b8b5900d-ebd3-3af7-9f15-0feac2238a37","Miracle on 34th Street",1947,"https://www.rottentomatoes.com/m/miracle_on_34th_street",79,"96%","87%"
"bd1b0cd8-1ad4-3ae0-a486-4ef8229a9cfa","To Be or Not to Be",1942,"https://www.rottentomatoes.com/m/to_be_or_not_to_be",80,"96%","93%"
"56f57194-2f6e-32d0-9d61-8598ef512eff","Mafioso",1962,"https://www.rottentomatoes.com/m/mafioso_1964",81,"96%","80%"
"f58aa6ec-b6e5-3ce3-88b9-8ccc870ccf32","Forbidden Planet",1956,"https://www.rottentomatoes.com/m/forbidden_planet",82,"92%","85%"
"77bc0c7d-7fa0-389a-9715-e3760c829f0a","Throne of Blood",1957,"https://www.rottentomatoes.com/m/throne_of_blood",83,"96%","93%"
"2d4cdfcf-9bb2-38ef-962f-56b714dc4642","Who's Afraid of Virginia Woolf?",1966,"https://www.rottentomatoes.com/m/whos_afraid_of_virginia_woolf",84,"96%","90%"
"dce7b922-a512-3803-beb8-88a91b036131","An American in Paris",1951,"https://www.rottentomatoes.com/m/american_in_paris",85,"95%","79%"
"41168fc5-349b-349b-bb1c-cd2fa5e803b7","In the Heat of the Night",1967,"https://www.rottentomatoes.com/m/in_the_heat_of_the_night",86,"96%","92%"
"8101f42e-f9fb-30fc-9748-2b4101638f27","Touch of Evil",1958,"https://www.rottentomatoes.com/m/touch_of_evil",87,"95%","92%"
"c34a854c-87a1-3fcf-add2-e0cdf9431ada","Diabolique",1955,"https://www.rottentomatoes.com/m/1032980-diabolique",88,"95%","93%"
"144420f9-e23e-3dde-acbd-58a322954fc0","Beauty and the Beast",1946,"https://www.rottentomatoes.com/m/1001902-beauty_and_the_beast",89,"96%","90%"
"e9324ae4-9c9b-3c34-a0ce-2edc59cc565d","Repulsion",1965,"https://www.rottentomatoes.com/m/repulsion",90,"96%","86%"
"a50a127d-e1cb-373d-8f20-4999b7186c77","Roman Holiday",1953,"https://www.rottentomatoes.com/m/roman_holiday",91,"96%","93%"
"ce4faf60-7493-3977-8054-f83d3edd66ce","City Lights",1931,"https://www.rottentomatoes.com/m/city_lights",92,"95%","96%"
"20747e1a-c487-3d46-a098-8e0052a0bdf7","Dr. No",1962,"https://www.rottentomatoes.com/m/dr_no",93,"95%","82%"
"113150a6-30f2-359e-836d-d8798024a62e","Fantasia",1940,"https://www.rottentomatoes.com/m/fantasia",94,"95%","83%"
"a834a5ba-00b1-3aec-a20c-30b8b38e32a4","The Day the Earth Stood Still",1951,"https://www.rottentomatoes.com/m/1005371-day_the_earth_stood_still",95,"95%","87%"
"6b1cbd81-2ce9-3937-a5a7-4c8168471a5d","Peeping Tom",1960,"https://www.rottentomatoes.com/m/peeping_tom_1960",96,"95%","85%"
"5e0b2a97-e38f-302d-8a36-2afe67d68774","The Innocents",1961,"https://www.rottentomatoes.com/m/1099622-innocents",97,"95%","86%"
"e608f862-5f42-3cb1-8da6-a074e626f2ce","Freaks",1932,"https://www.rottentomatoes.com/m/freaks",98,"95%","88%"
"9c15a627-1922-3b2f-81fc-a32d85239f39","Last Year at Marienbad",1961,"https://www.rottentomatoes.com/m/last_year_at_marienbad",99,"93%","85%"
"438932b3-94aa-302a-ab9d-406c94a1facf","Romeo and Juliet",1968,"https://www.rottentomatoes.com/m/romeo_and_juliet_1968",100,"95%","74%"
